STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
843,76500,0,0,839,0,29502,6445,13317,0.483967,2,12,0.166666666666667,2638,3382,0.780011,908,2337,5715,2846,661,303,630,2940,15530
844,1498,0,0,872,220,19674,2270,5109,0.444313,359,1154,0.311091,1724,2173,0.793373,219,1394,1613,2934,564,85,928,917,6623
845,2845,0,0,21,0,72,6,18,0.333333,1,2,0.5,0,0,0,7,11,18,4,2,0,6,7,13
846,1380,0,0,200,29,3547,553,1373,0.402767,152,481,0.316008,153,206,0.742718,183,257,440,312,102,61,211,298,1411
847,2605,0,0,548,146,11704,1772,3933,0.450546,103,439,0.234624,672,932,0.72103,521,1031,1552,966,509,137,644,882,4319
848,76502,0,0,11,0,126,13,35,0.371428,0,0,0,13,23,0.565217,10,24,34,6,3,11,0,29,39
849,203584,0,0,262,19,4046,626,1561,0.401024,468,1161,0.4031,123,149,0.825503,55,291,346,151,76,14,162,341,1843
850,390,0,0,75,60,2331,331,754,0.438992,119,314,0.37898,176,223,0.789237,41,141,182,149,69,12,153,209,957
851,76504,0,0,955,900,34151,8169,15121,0.540242,7,41,0.170731707317073,6832,8351,0.818105,2207,3248,5455,2830,944,150,2503,2550,23177
852,76506,0,0,12,0,90,3,18,0.166666,0,0,0,5,9,0.555555,0,10,10,2,0,0,0,29,11
853,76507,0,0,26,0,0,78,243,0.320987,0,0,0,55,80,0.6875,0,0,0,67,0,0,0,67,211
854,212,0,0,110,25,1004,86,217,0.396313,0,0,0,61,107,0.570093,101,180,281,4,12,70,96,179,233
855,76509,0,0,47,0,401,74,157,0.471337,0,0,0,22,40,0.55,15,22,37,30,3,1,0,48,170
856,76511,0,0,5,0,34,3,15,0.2,0,0,0,6,7,0.857142,0,7,7,6,0,0,0,9,12
857,203540,0,0,55,1,447,77,186,0.413978,25,79,0.316455,9,11,0.818181,17,58,75,20,8,8,20,35,188
858,921,0,0,548,546,20029,3823,7189,0.531784,2,14,0.142857,2741,3670,0.746866,1207,4020,5227,2028,422,397,1511,1466,10389
859,1600,0,0,109,11,1584,201,451,0.445676,0,4,0,147,180,0.816666,111,195,306,64,46,24,92,172,549
860,201176,0,0,52,2,433,68,160,0.425,0,0,0,26,45,0.577777,31,65,96,14,9,18,22,58,162
861,76514,0,0,462,0,8617,2292,6067,0.377781,0,0,0,2010,2647,0.75935,0,980,980,2250,0,0,0,1566,6594
862,203561,0,0,78,6,998,109,265,0.41132,10,44,0.227272,58,90,0.644444,76,116,192,58,42,15,64,151,286
863,203076,0,0,450,445,15741,4044,7833,0.516277,173,554,0.312274,2522,3162,0.797596,1170,3601,4771,941,621,1090,838,1077,10783
864,213,0,0,903,524,26085,3187,7120,0.447612,2,23,0.086956,2665,3668,0.726553,2323,4432,6755,1017,430,889,1346,2551,9041
865,76515,0,0,59,0,0,107,381,0.280839,0,0,0,73,115,0.634782,0,0,0,14,0,0,0,136,287
866,1884,0,0,835,692,28594,4888,11951,0.409003,1332,4159,0.320269,2339,3292,0.71051,762,2421,3183,6025,1530,360,2308,2361,13447
867,989,0,0,40,0,155,21,59,0.355932,0,0,0,12,26,0.461538,30,23,53,5,6,2,7,25,54
868,76538,0,0,47,0,0,35,146,0.239726,0,0,0,14,41,0.341463,0,0,0,11,0,0,0,92,84
869,76533,0,0,9,0,41,6,28,0.214285,0,0,0,4,6,0.666666,0,5,5,2,0,0,0,5,16
870,76516,0,0,961,426,22302,2970,5820,0.510309,270,841,0.321046373365042,1656,2001,0.827586,301,1437,1738,4709,756,146,1377,2139,7866
871,76517,0,0,68,3,374,40,126,0.31746,1,3,0.333333,50,68,0.735294,21,34,55,22,16,4,19,34,131
872,76518,0,0,415,32,5050,970,2152,0.450743,19,112,0.169642,255,346,0.736994,378,630,1008,309,127,74,334,634,2214
873,76519,0,0,144,0,2653,506,1240,0.408064,0,0,0,275,341,0.806451,2,9,219,319,2,0,0,344,1287
874,905,0,0,1094,863,29604,3592,6779,0.529871,0,8,0,1522,2708,0.562038,3303,5302,8605,978,691,1270,1090,2878,8706
875,1627738,0,0,98,6,1181,185,312,0.592948,0,0,0,48,75,0.64,95,215,310,42,18,56,40,165,418
876,76521,0,0,340,0,8010,1130,2669,0.423379,0,0,0,676,926,0.730021,402,1026,1991,529,139,149,0,1076,2936
877,202334,0,0,604,95,12313,1642,2893,0.567576,0,4,0,666,1155,0.576623,1411,2608,4019,469,311,518,480,1504,3950
