RK,FULL_NAME,TWITTER_ACC
432,John Henson\hensojo01,Johnhenson31
433,LaDontae Henton\hentola01,HentonBuckets23
434,Juan Hernangomez\hernaju01,juanchohg14
435,Willy Hernangomez\hernawi01,willyhg94
436,Chris Herren\herrech01,c_herren
437,Kevin Hervey\herveke01,kherv_25
438,Mario Hezonja\hezonma01,MarioHezonja
439,Isaiah Hicks\hicksis01,IDHicks
440,Buddy Hield\hieldbu01,buddyhield
441,Cory Higgins\higgico01,chiggins11
442,Haywood Highsmith\highsha01,hay_iAMHigh
443,Nene Hilario\hilarne01,NeneHilario42
444,George Hill\hillge01,George_Hill3
445,Grant Hill\hillgr01,realgranthill33
446,Solomon Hill\hillso01,solohill
447,Darrun Hilliard\hillida01,darrunhilliard
448,Darington Hobson\hobsoda01,ParkaySmooth
449,Julius Hodge\hodgeju01,Follow24Hodge
450,DJ Hogg\hoggdj01,Dj_hogg1
451,Fred Hoiberg\hoibefr01,ISUMayor32
452,Aaron Holiday\holidaa01,The_4th_Holiday
453,Jrue Holiday\holidjr01,Jrue_Holiday11
454,Justin Holiday\holidju01,JustHolla7
455,John Holland\hollajo02,Jholland_23
456,Ryan Hollins\holliry01,TheRyanHollins
457,Richaun Holmes\holmeri01,Rich_Holmes22
458,Tyler Honeycutt\honeyty01,thoneycutt23
459,Rodney Hood\hoodro01,rodneyhood
460,Scotty Hopson\hopsosc01,Shopson32
461,Al Horford\horfoal01,Al_Horford
462,Dennis Horner\hornede01,DHorner31
463,Keith Hornsby\hornske01,KHornsby4
464,Robert Horry\horryro01,RKHorry
465,Danuel House\houseda01,DanuelHouseJr
466,Allan Houston\houstal01,ALLAN_HOUSTON
467,Dwight Howard\howardw01,DwightHoward
468,Lester Hudson\hudsole01,Lester26Hudson
469,Marcelo Huertas\huertma01,Huertas09
470,Kevin Huerter\huertke01,KevinHuerter
471,Josh Huestis\huestjo01,jhuestis
472,Robbie Hummel\hummero01,RobbieHummel
473,Isaac Humphries\humphis01,IsaacHumphries7
474,Kris Humphries\humphkr01,KrisHumphries
475,Chandler Hutchison\hutchch01,CmoHutchison
476,Serge Ibaka\ibakase01,sergeibaka_7
477,Andre Iguodala\iguodan01,andre
478,Joe Ingles\inglejo01,Joeingles7
479,Damien Inglis\inglida01,DamienINGLIS
480,Brandon Ingram\ingrabr01,B_Ingram13
481,Ike Iroegbu\iroegik01,Be_LikeIKE
482,Kyrie Irving\irvinky01,KyrieIrving
483,Jonathan Isaac\isaacjo01,jisaac_01
484,Allen Iverson\iversal01,alleniverson
485,Royal Ivey\iveyro01,ROYALTIVEY
486,Wesley Iwundu\iwundwe01,_Iwundu25
487,Jarrett Jack\jackja01,Jarrettjack03
488,Bobby Jackson\jacksbo01,TheBobbyJackson
489,Darnell Jackson\jacksda01,DBlock_Official
490,Demetrius Jackson\jacksde01,D_Jay11
491,Frank Jackson\jacksfr01,FWJackson15
492,Jaren Jackson\jacksja02,jarenjacksonjr
493,Josh Jackson\jacksjo02,j_josh11
494,Justin Jackson\jacksju01,JJacks_44
495,Justin Jackson\jacksju02,JJacks_44
496,Mark Jackson\jacksma01,MarkJackson13
497,Reggie Jackson\jacksre01,Reggie_Jackson
498,Stephen Jackson\jacksst02,DaTrillStak5
499,Bernard James\jamesbe01,BernardJame5
500,Damion James\jamesda01,KONJames10
501,LeBron James\jamesle01,KingJames
502,Mike James\jamesmi01,mikejames7
503,Matt Janning\jannima01,mjanning23
504,Othyus Jeffers\jeffeot01,OthyusTheGreat
505,Amile Jefferson\jeffeam01,AmileJefferson
506,Cory Jefferson\jeffeco01,CoryJay34
507,John Jenkins\jenkijo01,JohnnyCashVU23
508,Jonas Jerebko\jerebjo01,JonasJerebko
509,Eugene Jeter\jetereu01,PoohJeter
510,Alize Johnson\johnsal02,AlizeJohnson
511,Amir Johnson\johnsam01,IamAmirJohnson
512,Armon Johnson\johnsar02,AJALLDAY1
513,B.J. Johnson\johnsbj01,Bean_J20
514,Brice Johnson\johnsbr02,bjohnson_23
515,Dakari Johnson\johnsda04,DakariJohnson
516,Eddie Johnson\johnsed03,Jumpshot8
517,JaJuan Johnson\johnsja02,JaJuanJohnson
518,James Johnson\johnsja01,IamJJ3
519,Jaylen Johnson\johnsja04,JayGlooo10
520,Joe Johnson\johnsjo02,TheJoeJohnson7
521,Kevin Johnson\johnske02,KJ_MayorJohnson
522,Magic Johnson\johnsma02,MagicJohnson
523,Orlando Johnson\johnsor01,OrlandoVJohnson
524,Reggie Johnson\johnsre01,Regg_42
525,Stanley Johnson\johnsst04,iAmSJ
526,Tyler Johnson\johnsty01,RealTJohnson
527,Wesley Johnson\johnswe01,wjohnson67
528,Darius Johnson-Odom\johnsda03,KingMe_DJ1
529,Peter Jok\jokpe01,Jok_City14
530,Nikola Jokic\jokicni01,JokicNikola15
531,Dahntay Jones\jonesda02,dahntay1
532,Damian Jones\jonesda03,dameology
533,Damon Jones\jonesda01,d19j
534,Damon Jones\jonesda01,djones19
535,DeQuan Jones\jonesde01,DequanMJones
