,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
2,Tim Duncan,Starter,PF,40:00,8-18,0-0,3-3,17.9,5.0,10,15,4,2,1,3,0,19,2003.0
3,Steve Francis,Starter,PG,32:00,9-12,2-3,0-0,18.2,1.0,1,2,9,1,0,3,0,20,2003.0
4,Kevin Garnett,Starter,SF,41:00,17-24,0-0,3-3,28.4,1.0,8,9,3,3,5,4,1,37,2003.0
5,Yao Ming,Starter,PF,17:00,1-1,0-0,0-0,2.2,0.0,2,2,0,1,0,0,0,2,2003.0
6,Stephon Marbury,Bench,PG,15:00,1-3,0-2,2-2,5.8,0.0,1,1,6,0,0,2,0,4,2003.0
7,Shawn Marion,Bench,SF,23:00,4-9,0-1,0-0,15.2,5.0,2,7,4,1,3,0,1,8,2003.0
8,Steve Nash,Bench,PG,16:00,1-3,0-2,0-1,3.1,2.0,3,5,3,1,1,4,0,2,2003.0
9,Dirk Nowitzki,Bench,PF,16:00,4-8,1-4,0-0,2.2,0.0,1,1,1,1,0,2,0,9,2003.0
10,Shaquille O'Neal,Bench,C,26:00,8-14,0-0,3-5,16.6,3.0,10,13,1,3,2,3,1,19,2003.0
11,Gary Payton,Bench,PG,15:00,4-6,0-1,0-0,2.0,1.0,0,1,2,3,0,3,0,8,2003.0
12,Peja Stojakovic,Bench,SF,13:00,2-7,1-4,0-0,3.0,0.0,3,3,1,0,1,1,0,5,2003.0
1,Allen Iverson,Starter,PG,41:00,13-23,1-3,8-9,23.9,3.0,2,5,7,2,5,6,0,35,2003.0
2,Michael Jordan,Starter,SF,36:00,9-27,0-2,2-2,3.8,2.0,3,5,2,3,2,2,0,20,2003.0
3,Tracy McGrady,Starter,SG,36:00,10-17,4-7,5-6,17.5,1.0,4,5,2,3,0,1,0,29,2003.0
